[2026-07-23 05:30:26] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-23 05:30:33] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-23 05:30:40] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-23 05:30:47] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:31:07] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:31:15] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:33:22] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:33:40] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:34:44] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:35:54] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:37:48] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:39:16] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:42:59] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:44:15] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:44:51] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:45:31] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:45:35] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-23 05:45:46] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-23 05:45:53] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-23 05:49:19] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-24 02:55:29] IP: ::1 | USER: admin | AKSI: Login | STATUS: SUKSES
[2026-07-24 03:18:00] IP: ::1 | USER: admin | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-24 03:18:07] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-24 03:33:18] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-24 03:53:14] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-24 03:53:19] IP: ::1 | USER: 11 | AKSI: Login | STATUS: GAGAL (Username Tidak Ditemukan)
[2026-07-24 03:53:25] IP: ::1 | USER: 11111 | AKSI: Login | STATUS: GAGAL (Username Tidak Ditemukan)
[2026-07-24 03:53:31] IP: ::1 | USER: 2222 | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 03:54:48] IP: ::1 | USER: 2222 | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 03:55:34] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 03:56:07] IP: ::1 | USER: MMM | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 03:56:24] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 03:57:41] IP: ::1 | USER: KALIWEDI | AKSI: Registrasi | STATUS: SUKSES
[2026-07-24 03:57:53] IP: ::1 | USER: KALIWEDI | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 03:59:51] IP: ::1 | USER: PCB | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 04:21:48] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-24 04:43:26] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Password Salah)
[2026-07-24 04:43:32] IP: ::1 | USER: 2222\ | AKSI: Login | STATUS: GAGAL (Username Tidak Ditemukan)
[2026-07-24 04:43:36] IP: ::1 | USER: 4444 | AKSI: Login | STATUS: GAGAL (Username Tidak Ditemukan)
[2026-07-24 04:43:41] IP: ::1 | USER: 3333 | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 04:47:27] IP: ::1 | USER: 3333 | AKSI: Login Attempt | STATUS: DIBLOKIR (Brute-Force)
[2026-07-24 08:38:40] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-24 08:45:25] IP: ::1 | USER: admin | AKSI: Login | STATUS: SUKSES
[2026-07-24 10:28:45] IP: ::1 | USER: KALIWEDI | AKSI: Registrasi | STATUS: SUKSES
[2026-07-24 10:28:56] IP: ::1 | USER: KALIWEDI | AKSI: Login | STATUS: SUKSES
[2026-07-24 10:42:30] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Kombinasi Salah)
[2026-07-24 10:42:38] IP: ::1 | USER: PCB | AKSI: Login | STATUS: SUKSES
[2026-07-24 10:44:43] IP: ::1 | USER: admin | AKSI: Login | STATUS: SUKSES
[2026-07-24 11:20:14] IP: ::1 | USER: PCB | AKSI: Login | STATUS: GAGAL (Kombinasi Salah)
